key,value,date
alt-J,0,2013-1
alt-J,1,2013-2
alt-J,0,2013-3
alt-J,0,2013-4
alt-J,0,2013-5
alt-J,0,2013-6
alt-J,0,2013-7
alt-J,0,2013-8
alt-J,0,2013-9
alt-J,0,2013-10
alt-J,0,2013-11
alt-J,0,2013-12
alt-J,0,2014-1
alt-J,0,2014-2
alt-J,0,2014-3
alt-J,0,2014-4
alt-J,41,2014-5
alt-J,64,2014-6
alt-J,36,2014-7
alt-J,42,2014-8
alt-J,161,2014-9
alt-J,46,2014-10
alt-J,40,2014-11
alt-J,37,2014-12
Surfer Blood,0,2013-1
Surfer Blood,1,2013-2
Surfer Blood,0,2013-3
Surfer Blood,0,2013-4
Surfer Blood,0,2013-5
Surfer Blood,0,2013-6
Surfer Blood,0,2013-7
Surfer Blood,1,2013-8
Surfer Blood,0,2013-9
Surfer Blood,0,2013-10
Surfer Blood,0,2013-11
Surfer Blood,0,2013-12
Surfer Blood,98,2014-1
Surfer Blood,91,2014-2
Surfer Blood,26,2014-3
Surfer Blood,2,2014-4
Surfer Blood,9,2014-5
Surfer Blood,4,2014-6
Surfer Blood,2,2014-7
Surfer Blood,49,2014-8
Surfer Blood,18,2014-9
Surfer Blood,27,2014-10
Surfer Blood,8,2014-11
Surfer Blood,8,2014-12
Tame Impala,20,2013-1
Tame Impala,5,2013-2
Tame Impala,2,2013-3
Tame Impala,38,2013-4
Tame Impala,3,2013-5
Tame Impala,6,2013-6
Tame Impala,1,2013-7
Tame Impala,0,2013-8
Tame Impala,0,2013-9
Tame Impala,0,2013-10
Tame Impala,2,2013-11
Tame Impala,0,2013-12
Tame Impala,2,2014-1
Tame Impala,80,2014-2
Tame Impala,91,2014-3
Tame Impala,13,2014-4
Tame Impala,0,2014-5
Tame Impala,3,2014-6
Tame Impala,23,2014-7
Tame Impala,13,2014-8
Tame Impala,10,2014-9
Tame Impala,0,2014-10
Tame Impala,0,2014-11
Tame Impala,1,2014-12
Warpaint,0,2013-1
Warpaint,0,2013-2
Warpaint,0,2013-3
Warpaint,0,2013-4
Warpaint,0,2013-5
Warpaint,4,2013-6
Warpaint,0,2013-7
Warpaint,1,2013-8
Warpaint,0,2013-9
Warpaint,3,2013-10
Warpaint,4,2013-11
Warpaint,0,2013-12
Warpaint,21,2014-1
Warpaint,21,2014-2
Warpaint,32,2014-3
Warpaint,17,2014-4
Warpaint,42,2014-5
Warpaint,22,2014-6
Warpaint,43,2014-7
Warpaint,50,2014-8
Warpaint,32,2014-9
Warpaint,17,2014-10
Warpaint,0,2014-11
Warpaint,0,2014-12
Beach House,0,2013-1
Beach House,1,2013-2
Beach House,13,2013-3
Beach House,17,2013-4
Beach House,0,2013-5
Beach House,7,2013-6
Beach House,0,2013-7
Beach House,7,2013-8
Beach House,2,2013-9
Beach House,1,2013-10
Beach House,8,2013-11
Beach House,0,2013-12
Beach House,4,2014-1
Beach House,9,2014-2
Beach House,20,2014-3
Beach House,21,2014-4
Beach House,19,2014-5
Beach House,23,2014-6
Beach House,24,2014-7
Beach House,52,2014-8
Beach House,10,2014-9
Beach House,7,2014-10
Beach House,1,2014-11
Beach House,30,2014-12
The National,0,2013-1
The National,0,2013-2
The National,0,2013-3
The National,0,2013-4
The National,5,2013-5
The National,10,2013-6
The National,0,2013-7
The National,2,2013-8
The National,1,2013-9
The National,0,2013-10
The National,0,2013-11
The National,0,2013-12
The National,2,2014-1
The National,0,2014-2
